Aces,First Serve points,Second Serve points,Net points,Break points,Receiving points,Winners ,Double Faults,Unforced Errors,Result
9,70,55,68,24,42,62,1,100,W
2,69,36,61,22,36,32,4,68,L
6,65,62,68,44,35,37,0,46,L
18,73,50,74,18,36,66,2,57,W
24,79,48,65,33,37,82,6,53,W
9,71,51,68,38,31,52,9,31,L
13,75,51,81,33,41,58,13,87,W
8,69,42,69,40,38,30,13,60,L
7,70,49,82,25,34,60,3,83,L
8,70,59,69,36,39,41,6,39,W
8,63,49,90,50,30,46,4,58,L
7,77,58,69,100,43,35,5,32,W
42,76,51,59,45,34,97,14,75,W
13,69,61,64,36,36,59,4,34,L
